,station_name,num_bikes_available,mechanical_available,electrical_available,num_docks_available
0,ROUVILLE,8,0,8,9
1,FESTIVAL DU VELO 2024,0,0,0,3
2,PLACE DE LA PAIX,2,1,1,18
3,PLACE LOUISE,6,3,3,10
4,PIZAY,0,0,0,22
5,PART-DIEU / VILLETTE,25,10,15,3
6,PART-DIEU / FRANCFORT,23,19,4,5
7,CARMÉLITES,2,0,2,14
8,SAXE / MONCEY,23,10,13,3
9,QUAI LASSAGNE,1,0,1,15
10,LES HALLES,2,1,1,16
11,AVEYRON,5,0,5,12
12,DESAIX,10,6,4,18
13,CHAZETTE LASSAGNE,3,2,1,17
14,SACRE COEUR,3,2,1,10
15,FEUILLAT / LACASSAGNE,3,1,2,13
16,PART-DIEU / GARIBALDI,6,0,6,14
17,PLACE GUICHARD,12,6,6,3
18,TRARIEUX / LACASSAGNE,3,0,3,21
19,VINATIER,1,0,1,19
20,VILLETTE,28,12,16,8
21,AUGAGNEUR / FOSSE AUX OURS,15,12,3,24
22,PLACE SAINTE ANNE,5,3,2,11
23,SISLEY / DAUPHINE,10,7,3,7
24,PATINOIRE BARABAN,7,5,2,13
25,DOCTEUR LONG / CAILLE,7,1,6,9
26,PLACE DANTON,3,0,3,15
27,VIVIER MERLE / PAUL BERT OUEST,8,8,0,11
28,PLATINE PLAISIR BEE,2,2,0,0
29,NEUVILLE - QUAI PASTEUR,0,0,0,20
30,NEUVILLE - STADE,6,6,0,9
31,ALBIGNY - GARE,4,4,0,14
32,COUZON - CENTRE,1,1,0,16
33,RILLIEUX - CANELLAS,0,0,0,12
34,RILLIEUX - LOUP PENDU,0,0,0,17
35,FONTAINES S/S - QUAI SIMON,11,11,0,9
36,FONTAINES S/S - GAMBETTA,9,9,0,11
37,COLLONGES - GARE,3,3,0,21
38,ST DIDIER,1,0,1,16
39,ST CYR,0,0,0,12
40,ECULLY - MAIRIE,0,0,0,12
41,TASSIN - TUILERIES,4,0,4,8
42,STE FOY - PLACE ST LUC,8,6,2,7
43,LA MULATIERE - AQUARIUM,13,8,5,11
44,OULLINS - GARE,25,21,4,15
45,OULLINS - MAIRIE,5,0,5,12
46,OULLINS - PONT BLANC,5,4,1,18
47,555 - ATELIER VÉLO'V,1,0,1,2
48,ST GENIS L. - MÉDIATHÈQUE,1,1,0,11
49,PIERRE BÉNITE - EUROPE,12,8,4,3
50,ST FONS - ARSENAL,3,0,3,24
51,ST FONS - 4 CHEMINS,0,0,0,11
52,ST FONS - THEATRE,2,2,0,16
53,VENISSIEUX - PLACE ROMAND,18,9,9,2
54,VÉNISSIEUX - LÉVY / VIENNE,3,2,1,15
55,VÉNISSIEUX - JOLIOT CURIE / SEMBAT,2,0,2,23
56,VENISSIEUX PARILLY,18,6,12,7
57,VENISSIEUX - GARE,3,0,3,22
58,ST PRIEST - PARC TECHNOLOGIQUE,12,7,5,8
59,ST PRIEST - CITE BERLIET,1,1,0,19
60,BRON - CENTRE NAUTIQUE,3,0,3,10
61,BRON - PLACE CURIAL,3,0,3,21
62,BRON - MAIRIE,4,0,4,17
63,BRON - UNIVERSITE,3,2,1,16
64,DECINES - CENTRE,7,1,6,13
65,VAULX - LA SOIE,0,0,0,0
66,VAULX - POUDRETTE / LA SOIE,8,5,3,12
67,VAULX - BIBLIOTHEQUE,4,4,0,10
68,VAULX - HÔTEL DE VILLE,13,4,9,17
69,VAULX - VILLAGE,9,6,3,11
70,CALUIRE - GARE DE CUIRE,1,0,1,15
71,CALUIRE - SAINT-CLAIR,16,6,10,4
72,CALUIRE - LA ROCHETTE,14,9,5,6
73,CALUIRE - BRANLY / PASTEUR,4,2,2,11
74,CALUIRE - PASSERELLE DE LA PAIX,21,3,18,2
75,IUT / FEYSSINE,17,5,12,12
76,INSA,29,6,23,26
77,TONKIN,4,2,2,6
78,11 NOVEMBRE,12,7,5,21
79,CHARPENNES,24,10,14,10
80,PIATON / CONDORCET,14,6,8,5
81,SALENGRO / VAILLANT,3,3,0,20
82,BAUDIN / ZOLA,10,1,9,6
83,GRATTE-CIEL,0,0,0,0
84,ZOLA / FRANCE,0,0,0,15
85,CUSSET,12,7,5,8
86,LAURENT BONNEVAY / ASTROBALLE,4,0,4,24
87,POUDRETTE / MUSSET,5,2,3,13
88,PLACE DE LA PAIX,4,0,4,12
89,4 AOUT / RACINE,6,2,4,22
90,GRANDCLÉMENT,9,5,4,9
91,MAISONS NEUVES,6,2,4,17
92,TOTEM,12,6,6,4
93,MAIRIE DU 9E,13,12,1,14
94,PLACE VALMY,10,2,8,6
95,MAIRIE DE VILLEURBANNE,23,7,16,3
96,GARE DE VAISE,4,2,2,16
97,ECOLE DE MUSIQUE,23,4,19,0
